side,game,pa,pitch_no,inning,half,count,outs,pitcher,batter,stance,type,velocity,v_break,h_break,zone,in_zone,plate_x,plate_y,swing,whiff,contact,call,exit_velocity,launch_angle,spray_angle,distance,result
Pitching,2026091202,2026091202#17,1,2,BOTTOM,0-2,0,sota2486,syobonnkun,R,ライズボール,116.9,2.0,0.0,3,false,-0.1,1.9,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091202,2026091202#17,2,2,BOTTOM,0-0,1,sota2486,Alpha6000,R,サークルチェンジ,109.1,0.4,-0.9,22,false,-0.3,0.4,true,false,true,FOUL,131.3,10.3,-58.7,13.6,
Pitching,2026091202,2026091202#17,3,2,BOTTOM,0-1,1,sota2486,Alpha6000,R,ライズボール,116.8,2.0,0.0,18,true,0.1,0.6,true,false,true,FOUL,43.7,42.3,-134.4,7.4,
Pitching,2026091202,2026091202#17,4,2,BOTTOM,0-2,1,sota2486,Alpha6000,R,サークルチェンジ,108.5,0.5,-0.9,17,true,-0.3,0.5,true,false,true,IN_PLAY,169.7,14.8,-5.0,111.5,DOUBLE
Pitching,2026091202,2026091202#18,1,2,BOTTOM,0-0,1,sota2486,gaifukaisei,R,ライズボール,117.2,2.1,0.0,24,false,0.3,0.3,false,false,false,BALL,,,,,
Pitching,2026091202,2026091202#18,2,2,BOTTOM,1-0,1,sota2486,gaifukaisei,R,サークルチェンジ,107.9,0.4,-0.9,21,false,-0.9,0.0,false,false,false,BALL,,,,,
Pitching,2026091202,2026091202#18,3,2,BOTTOM,2-0,1,sota2486,gaifukaisei,R,超高速シンカー,113.8,-0.9,-1.2,23,false,-0.1,0.1,false,false,false,BALL,,,,,
Pitching,2026091202,2026091202#18,4,2,BOTTOM,3-0,1,sota2486,gaifukaisei,R,ライズボール,117.3,2.0,0.0,18,true,0.0,0.7,false,false,false,CALLED_STRIKE,,,,,
Pitching,2026091202,2026091202#18,5,2,BOTTOM,3-1,1,sota2486,gaifukaisei,R,高速スライダー,113.2,0.0,1.2,22,false,-0.5,0.4,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091202,2026091202#18,6,2,BOTTOM,3-2,1,sota2486,gaifukaisei,R,サークルチェンジ,108.2,0.3,-0.9,16,false,-0.9,0.7,true,false,true,FOUL,45.6,7.9,-120.1,6.9,
Pitching,2026091202,2026091202#18,7,2,BOTTOM,3-2,1,sota2486,gaifukaisei,R,ライズボール,116.1,2.0,0.0,8,true,0.1,1.4,true,false,true,IN_PLAY,183.6,30.4,20.4,119.3,HOME_RUN
Pitching,2026091202,2026091202#19,1,2,BOTTOM,0-0,1,sota2486,Rosario20,R,高速スライダー,112.5,0.0,1.2,18,true,-0.1,0.7,false,false,false,CALLED_STRIKE,,,,,
Pitching,2026091202,2026091202#19,2,2,BOTTOM,0-1,1,sota2486,Rosario20,R,ライズボール,115.8,2.1,0.0,24,false,0.3,0.1,false,false,false,BALL,,,,,
Pitching,2026091202,2026091202#19,3,2,BOTTOM,1-1,1,sota2486,Rosario20,R,サークルチェンジ,107.6,0.4,-0.9,22,false,-0.3,0.4,true,true,false,SWINGING_STRIKE,,,,,STRIKE_OUT
Pitching,2026091202,2026091202#20,1,2,BOTTOM,1-2,1,sota2486,Rosario20,R,高速スライダー,113.8,-0.1,1.2,25,false,1.1,0.0,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091202,2026091202#20,2,2,BOTTOM,0-0,2,sota2486,pipis_57,R,高速スライダー,113.3,0.1,1.2,23,false,0.0,0.4,true,false,true,FOUL,127.9,-29.1,12.4,32.1,
Pitching,2026091202,2026091202#23,2,3,BOTTOM,0-0,0,sota2486,syobonnkun,R,ライズボール,116.9,2.0,0.0,13,true,-0.2,1.3,false,false,false,CALLED_STRIKE,,,,,
Pitching,2026091202,2026091202#23,3,3,BOTTOM,0-1,0,sota2486,syobonnkun,R,高速スライダー,114.3,0.1,1.2,19,true,0.5,0.5,true,false,true,IN_PLAY,175.6,20.2,1.1,110.8,SINGLE
Pitching,2026091202,2026091202#24,1,3,BOTTOM,0-0,0,sota2486,Alpha6000,R,ライズボール,117.5,2.0,0.0,18,true,-0.2,0.6,false,false,false,CALLED_STRIKE,,,,,
Pitching,2026091202,2026091202#24,2,3,BOTTOM,0-1,0,sota2486,Alpha6000,R,サークルチェンジ,107.9,0.5,-0.9,17,true,-0.4,0.7,true,false,true,IN_PLAY,156.2,20.8,-14.5,113.2,DOUBLE
Pitching,2026091202,2026091202#25,1,3,BOTTOM,0-0,0,sota2486,gaifukaisei,R,高速スライダー,113.2,0.1,1.2,22,false,-0.4,0.1,false,false,false,BALL,,,,,
Pitching,2026091202,2026091202#25,2,3,BOTTOM,1-0,0,sota2486,gaifukaisei,R,ライズボール,117.0,2.0,0.0,23,false,-0.2,0.3,false,false,false,BALL,,,,,
Pitching,2026091202,2026091202#25,3,3,BOTTOM,2-0,0,sota2486,gaifukaisei,R,サークルチェンジ,107.4,0.3,-0.9,21,false,-1.3,0.4,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091202,2026091202#25,4,3,BOTTOM,2-1,0,sota2486,gaifukaisei,R,ライズボール,116.0,2.0,0.0,3,false,0.1,2.2,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091202,2026091202#25,5,3,BOTTOM,2-2,0,sota2486,gaifukaisei,R,超高速シンカー,112.3,-0.5,-1.1,21,false,-1.5,0.3,false,false,false,BALL,,,,,
Pitching,2026091202,2026091202#25,6,3,BOTTOM,3-2,0,sota2486,gaifukaisei,R,ライズボール,117.6,2.0,0.0,18,true,0.1,0.9,true,false,true,IN_PLAY,215.8,15.2,27.1,100.2,DOUBLE
Pitching,2026091202,2026091202#26,1,3,BOTTOM,0-0,0,sota2486,Rosario20,R,高速スライダー,113.9,-0.1,1.2,19,true,0.2,0.7,true,true,false,SWINGING_STRIKE,,,,,
