side,game,pa,pitch_no,inning,half,count,outs,pitcher,batter,stance,type,velocity,v_break,h_break,zone,in_zone,plate_x,plate_y,swing,whiff,contact,call,exit_velocity,launch_angle,spray_angle,distance,result,throws,swing_power,bat_power,init_velocity
Pitching,2026091202,2026091202#30,3,4,TOP,1-0,1,gaifukaisei,sota2486,R,ファストボール,122.3,0.8,0.0,4,false,0.3,2.3,true,true,false,SWINGING_STRIKE,,,,,,L,,,123.6
Pitching,2026091202,2026091202#30,4,4,TOP,1-2,1,gaifukaisei,sota2486,R,,,,,,,,,,,,,,,,,STRIKE_OUT,L,,,
Pitching,2026091202,2026091202#32,1,4,TOP,0-0,2,gaifukaisei,Pen4,L,スライダー,99.2,-0.5,-1.9,21,false,-1.7,0.4,false,false,false,BALL,,,,,,L,,,108.6
Pitching,2026091202,2026091202#32,2,4,TOP,1-0,2,gaifukaisei,Pen4,L,シンカー,76.5,-2.3,2.4,25,false,1.0,0.3,false,false,false,BALL,,,,,,L,,,98.0
Pitching,2026091202,2026091202#32,3,4,TOP,2-0,2,gaifukaisei,Pen4,L,ファストボール,123.4,0.8,0.0,12,true,-0.3,1.2,true,true,false,SWINGING_STRIKE,,,,,,L,,,124.7
Pitching,2026091202,2026091202#32,4,4,TOP,2-1,2,gaifukaisei,Pen4,L,スライダー,99.3,-0.5,-1.9,21,false,-1.1,0.4,true,true,false,SWINGING_STRIKE,,,,,,L,,,108.7
Pitching,2026091202,2026091202#32,5,4,TOP,2-2,2,gaifukaisei,Pen4,L,ファストボール,123.9,0.8,0.0,19,true,0.3,0.6,true,true,false,SWINGING_STRIKE,,,,,STRIKE_OUT,L,,,125.2
Batting,2026091202,2026091202#34,1,4,BOTTOM,0-0,0,sota2486,gaifukaisei,L,ライズボール,119.9,2.1,0.0,18,true,-0.2,0.6,false,false,false,CALLED_STRIKE,,,,,,R,,,116.5
Batting,2026091202,2026091202#34,2,4,BOTTOM,0-1,0,sota2486,gaifukaisei,L,サークルチェンジ,65.1,1.1,-0.8,21,false,-1.0,0.2,false,false,false,BALL,,,,,,R,,,107.5
Batting,2026091202,2026091202#34,3,4,BOTTOM,1-1,0,sota2486,gaifukaisei,L,高速スライダー,108.1,0.1,1.2,25,false,0.8,0.1,false,false,false,BALL,,,,,,R,,,113.3
Batting,2026091202,2026091202#34,4,4,BOTTOM,2-1,0,sota2486,gaifukaisei,L,ライズボール,122.0,2.0,0.0,17,true,-0.3,0.6,true,false,true,FOUL,36.5,-6.4,157.7,6.9,,R,,,118.6
Batting,2026091202,2026091202#34,5,4,BOTTOM,2-2,0,sota2486,gaifukaisei,L,超高速シンカー,106.9,-0.4,-1.1,21,false,-1.0,0.4,false,false,false,BALL,,,,,,R,,,112.0
Batting,2026091202,2026091202#34,6,4,BOTTOM,3-2,0,sota2486,gaifukaisei,L,サークルチェンジ,64.9,0.7,-0.9,22,false,-0.4,0.1,true,true,false,SWINGING_STRIKE,,,,,STRIKE_OUT,R,,,107.3
Pitching,2026091202,2026091202#38,1,5,TOP,0-0,0,gaifukaisei,hachi_18,R,ファストボール,123.5,0.8,0.0,14,true,0.3,1.1,false,false,false,CALLED_STRIKE,,,,,,L,,,124.8
Pitching,2026091202,2026091202#38,2,5,TOP,0-1,0,gaifukaisei,hachi_18,R,シンカー,76.2,-1.4,2.2,20,false,0.9,0.6,true,true,false,SWINGING_STRIKE,,,,,,L,,,97.7
Pitching,2026091202,2026091202#38,3,5,TOP,0-2,0,gaifukaisei,hachi_18,R,スライダー,97.5,-0.4,-1.8,22,false,-0.3,0.0,false,false,false,BALL,,,,,,L,,,107.8
Pitching,2026091202,2026091202#38,4,5,TOP,1-2,0,gaifukaisei,hachi_18,R,ファストボール,123.1,0.8,0.0,17,true,-0.4,0.7,true,false,true,FOUL,41.8,3.7,-159.9,7.0,,L,,,124.4
Pitching,2026091202,2026091202#38,5,5,TOP,1-2,0,gaifukaisei,hachi_18,R,カーブ,77.1,-2.1,-2.3,21,false,-0.6,0.3,true,true,false,SWINGING_STRIKE,,,,,STRIKE_OUT,L,,,98.8
Pitching,2026091202,2026091202#39,1,5,TOP,0-0,1,gaifukaisei,M0nJ,R,スライダー,97.8,-0.4,-1.8,23,false,0.0,0.2,false,false,false,BALL,,,,,,L,,,108.1
Pitching,2026091202,2026091202#39,2,5,TOP,1-0,1,gaifukaisei,M0nJ,R,ファストボール,124.2,0.8,0.0,12,true,-0.3,1.1,false,false,false,CALLED_STRIKE,,,,,,L,,,125.5
Pitching,2026091202,2026091202#39,3,5,TOP,1-1,1,gaifukaisei,M0nJ,R,カーブ,77.1,-2.8,-2.5,17,true,-0.5,0.7,true,false,true,FOUL,84.4,-21.3,-114.9,7.3,,L,,,98.8
Pitching,2026091202,2026091202#39,4,5,TOP,1-2,1,gaifukaisei,M0nJ,R,シンカー,76.9,-2.7,2.4,25,false,1.0,-0.2,true,false,true,IN_PLAY,92.6,-27.2,31.6,30.0,SINGLE,L,,,98.5
Pitching,2026091202,2026091202#40,1,5,TOP,0-0,2,gaifukaisei,TYPE_NOOB,R,カーブ,76.9,-2.5,-2.3,11,false,-0.6,1.1,true,false,true,IN_PLAY,158.5,37.0,-13.5,113.8,DOUBLE,L,,,98.6
Pitching,2026091202,2026091202#41,1,5,TOP,0-0,2,gaifukaisei,sota2486,R,シンカー,76.1,-0.4,2.0,15,false,1.4,1.0,false,false,false,BALL,,,,,,L,,,97.5
Pitching,2026091202,2026091202#41,2,5,TOP,1-0,2,gaifukaisei,sota2486,R,スライダー,97.1,-0.3,-1.8,13,true,-0.1,1.2,true,false,true,IN_PLAY,189.2,38.1,-36.9,138.2,HOME_RUN,L,,,107.4
Pitching,2026091202,2026091202#42,1,5,TOP,0-0,2,gaifukaisei,Pen4,L,カーブ,76.4,-1.7,-2.3,16,false,-1.6,0.6,false,false,false,BALL,,,,,,L,,,97.9
Pitching,2026091202,2026091202#42,2,5,TOP,1-0,2,gaifukaisei,Pen4,L,ファストボール,123.0,0.9,0.0,18,true,0.2,0.8,true,false,true,IN_PLAY,188.3,7.7,22.9,96.8,DOUBLE,L,,,124.3
Pitching,2026091202,2026091202#43,1,5,TOP,0-0,2,gaifukaisei,hachi_18,R,シンカー,76.6,-1.5,2.2,20,false,0.9,0.6,true,true,false,SWINGING_STRIKE,,,,,,L,,,98.2
Pitching,2026091202,2026091202#43,2,5,TOP,0-1,2,gaifukaisei,hachi_18,R,ファストボール,124.0,0.8,0.0,13,true,0.2,1.3,false,false,false,CALLED_STRIKE,,,,,,L,,,125.3
Pitching,2026091202,2026091202#43,3,5,TOP,0-2,2,gaifukaisei,hachi_18,R,スライダー,99.1,-0.4,-1.8,23,false,-0.1,-0.1,true,false,true,IN_PLAY,87.0,-56.9,45.0,18.2,,L,,,108.5
Pitching,2026091202,2026091202#43,4,5,TOP,0-2,2,gaifukaisei,hachi_18,R,シンカー,76.0,-2.8,2.4,25,false,0.9,-0.5,true,false,true,FOUL,97.3,-20.6,35.1,32.5,SINGLE,L,,,97.4
Batting,2026091202,2026091202#45,1,5,BOTTOM,0-0,0,Pen4,gaifukaisei,L,SFF,106.6,-0.7,0.0,21,false,-1.0,0.0,false,false,false,BALL,,,,,,R,,,106.7
Batting,2026091202,2026091202#45,2,5,BOTTOM,1-0,0,Pen4,gaifukaisei,L,パワーカーブ,99.8,-2.8,1.4,21,false,-1.8,0.5,false,false,false,BALL,,,,,,R,,,111.3
Batting,2026091202,2026091202#45,3,5,BOTTOM,2-0,0,Pen4,gaifukaisei,L,ライズボール,120.8,2.1,0.0,24,false,0.4,0.4,false,false,false,CALLED_STRIKE,,,,,,R,,,117.4
Batting,2026091202,2026091202#45,4,5,BOTTOM,2-1,0,Pen4,gaifukaisei,L,ツーシームファスト,120.4,0.9,-0.7,1,false,-1.4,2.1,false,false,false,BALL,,,,,,R,,,121.5
Batting,2026091202,2026091202#45,5,5,BOTTOM,3-1,0,Pen4,gaifukaisei,L,,,,,,,,,,,,,,,,,WALK,R,,,
